"author","title","post_time","like","hate","article"
"polanco","[新聞] 大谷翔平橫掃美日各獎項　《日刊體育》","Wed Dec  8 08:50:59 2021","456","109","大谷翔平橫掃美日各獎項　《日刊體育》封為13冠王
象徵對日本職棒年度最具貢獻的「正力松太郎賞」評選委員會，昨天頒贈「特別獎」給大谷
翔平，成為繼2004年鈴木一朗、2013年田中將大之後，獲得此獎項的第3人。這也是大谷今
年獲得的第13個獎項，被《日刊體育》封為13冠王。
（鈴木一朗在2004年締造大聯盟單季最多安打紀錄，田中將大在2013年24勝0敗，率樂天隊
奪得「日本一」總冠軍。）
大谷翔平本季「投打二刀流」都有傑出表現，擔任投手時先發出賽13場，投53.1局，繳出9
勝2敗、防禦率3.18、156奪三振的佳績，以打者身分賽155場，轟出46發全壘打、100打點、
26盜壘成功，獲選美國聯盟年度MVP。
《日刊體育》列出大谷本季獲頒的獎項如下：
1.《棒球文摘》年度最佳球員
2.《棒球美國》年度最佳球員
3. 會長特別獎
4. 大聯盟選手票選--年度最佳球員
5. 大聯盟選手票選—美聯最佳野手
6. 《Sporting News》年度最佳球員
7. 銀棒獎（美聯指定打擊）
8. 美國聯盟年度MVP
9. 大聯盟年度第1隊—指定打擊
10.大聯盟年度第2隊—先發投手
11.Edgar Martinez獎（最佳DH）
12.日本年度「新語．流行語大獎」第一名（SHOTIME）
13.正力松太郎賞
https://www.tsna.com.tw/tw/news/show.php?c=1&num=43076
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.77.237.215 (臺灣)
"
"Gotham","[新聞] 高津臣吾獲頒正力松太郎賞　大谷翔平、稻","Tue Dec  7 22:35:54 2021","397","138","
記者歐建智／綜合報導
日本職棒今天（7日）頒布「正力松太郎賞」，養樂多隊監督高津臣吾率隊奪得日本總冠
軍，獲選正力松太郎賞，大谷翔平與稻葉篤紀獲選特別賞，這是史上第一次有同一年有2
人獲選正力松太郎特別賞。
已故前讀賣巨人隊正力松太郎，在1934年創立了日本第一支職棒隊，頒布當年在日本職棒
界有最大貢獻的球員、總經理、監督或裁判。
今年由王貞治、中西太、山本浩二、門田隆將、杉下茂等人組成評選委員會開會，選出「
正力松太郎賞」得主是養樂多隊監督高津臣吾。
正力松太郎特別賞由日本奧運金牌教練稻葉篤紀，以及大聯盟投打二刀流大谷翔平獲選。
鈴木一朗2004年及田中將大在2013年都曾獲選特別賞。
對於大谷翔平獲選特別賞，王貞治表示，大谷翔平今年紅遍世界各地，尤其是他在八月份
的表現非常精彩，每次打開電視，都會打出全壘打，期待日本球員奪得全壘打王，擔任投
手雖然未能10勝，近年來在大聯盟沒有像他這樣的人，並且獲選年度MVP。

原文網址: 高津臣吾獲頒正力松太郎賞　大谷翔平、稻葉篤紀獲特別賞 | ETtoday運動雲
 | ETtoday新聞雲 https://sports.ettoday.net/news/2140883#ixzz7EN8JQ3ab
Follow us: @ETtodaynet on Twitter | ETtoday on Facebook

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.136.65.16 (臺灣)
"
"elite9q","[討論] 富邦為何不採用類似喵喵2008的教練配置","Tue Dec  7 19:50:33 2021","327","118","喵喵2008的教練配置是
總教練呂文生，
投手教練法蘭克
打擊教練安東尼。
法蘭克跟安東尼都是執教經驗豐富的教練，
法蘭克甚至有大聯盟不只一年的執教經驗。
這種配置的喵喵當年輕鬆拿冠軍，
亞洲職棒大賽的成績也相當驚人，拿到第二名。
富邦這支球隊要找到類似的教練，應該不是太難才對。
富邦的前身義大也找到羅伯特、馮喬許、大威。
這種配置才適合富邦吧。
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.248.128.149 (臺灣)
"
"hornydragun","Re: [新聞] 富邦悍將教練團重磅補強 陳瑞振接任二軍","Tue Dec  7 17:56:50 2021","235","139","振總去年加入富邦的時候，大家都說紅中+拳振，富邦要起飛了
甚至說這兩人可以好好治富邦的氣氛
結果短短不到一年，紅中和振總相繼離開
這點應該讓很多人跌破眼鏡
這樣是證明鐵拳教育不適合富邦球員？
還是其實富邦本來就該由人和教練來帶呢

※ 引述《yuri0626 (跳跳)》之銘言：
: 獨家／富邦悍將教練團重磅補強　陳瑞振接任二軍首席
: 記者陳立勳／台北報導
: 富邦悍將今年下半季差一步打下隊史首座季冠軍，季後進行相關教練團補強，為了強化
球
: 隊守備，確定邀請前兄弟象隊總教練陳瑞振加盟，接任富邦悍將二軍首席教練。
: 富邦悍將今年改由洪一中職掌一軍兵符，下半季逐漸打出隊型，下半季拚到最後一場，
最
: 後才以些微之差無緣季冠軍，為了備戰明年新球季，並且強化農場訓練，除了選定嘉義
市
: 為明年春訓基地，據了解富邦二軍教練團也將改組，二軍總教練改由二軍投手教練余文
彬
: 接手，原先二軍總教練施金典轉為二軍守備教練，由於余文彬接下二軍總教練，從球員
退
: 役的蔡明晋轉為二軍投手部門教練，但球團可能再找一人搭配，因此蔡明晋實際職稱有
待
: 球團確認，並不一定是先前傳出的二軍牛棚教練，同時富邦找來以守備訓練見長的前兄
弟
: 象隊總教練陳瑞振擔任二軍首席教練，不僅協助加強守備，並且在作戰上給予意見，相
關
: 訊息富邦球團近期就會發布。
: 2010年陳瑞振擔任兄弟象隊總教練，首年就領軍拿下總冠軍，3年總教練生涯取得180勝
17
: 4敗4和，勝率0.508，2018年8月陳瑞振離開執教4年的母校美和中學，後來在學弟邀請
下
: ，前往新竹仰德高中擔任客座教練，陳瑞振後來當年11月飛往中國大陸發展，接下呂文
生
: 留下的江蘇成棒隊總教練兵符，去年帶兵打進中國職棒總冠軍戰，教學獲得不錯評價，
尤
: 其指導內野守備訓練受到高度評價，對於富邦悍將來說，陳瑞振的加入，有助於球隊守
備
: 能力提升。
: 富邦球團表示，目前相關教練人事佈局，會等確定後再對外公布。
: https://reurl.cc/0OqM8l
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.82.91.64 (臺灣)
"
"Sharonchens","Re: [討論] 富邦怎麼還玩得下去","Tue Dec  7 15:35:55 2021","12","171","※ 引述《waiting0212 (威)》之銘言：
: 先說不是在鼓勵球隊解散
: 真心佩服為棒球圈付出的每一個企業
: 然而自從富邦接手以來
: 幾乎是要什麼給什麼了
: 但球隊的「文化」真的是很妙
: 打不進季後賽已經很慘了
: 每年都是開季前跟球季結束後話題最多
: 這對企業來說形象不是加分吧（看看PJ前幾天的限時..）
: 所以富邦怎麼還願意繼續玩下去呢
        富邦高層決策
        主要還是蔡明忠吧?
        蔡承儒應該沒有太大決定權
        比如說過去幾年
        除了投資硬體設備很用心之外
        常常出現重金挖角哪個明星球員或者教練
        這麼大筆預算  應該不是蔡承儒能決定的~~~
        包括說兩年前請來洪一中
        這也是蔡明忠找來的

        但很奇怪的就是
        富邦高層有種觀念
        認為我只要花大錢找來明星球員或者教練就能拿到冠軍
        而且只想求速成  想要立竿見影  馬上就要有績效
        非常缺乏耐心
        今天這批人一兩年沒冠軍  換!
        再找一批人一兩年沒冠軍  再換!
        無限loop





        蔡承儒主要在管職籃
        職棒部分  則主要是由蔡明忠在管
        那這樣蔡明忠....
        本身觀念問題很大
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.194.199.61 (臺灣)
"
"Ayanami5566","[討論] 振總現在適合去哪一隊？","Tue Dec  7 13:51:11 2021","21","3","
振總只在富邦二軍待一年  就離開了
當初會去富邦  因為離家比較近  可以照顧年歲已高的媽媽
那現在振總離隊後  會去其他四隊嗎？
還是又回歸基層  帶小朋友？
大家覺得振總適合去哪一隊呢？
回兄弟  操岳哥？
去樂天  操馬傑森？
去味全  操耐斯哥？
去統一  太多了不知道要操誰…
大家怎麼看？
會希望振總回職業球壇嗎？
--
https://i.imgur.com/6KCmiHt.jpg
全亞洲最帥氣的男人
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.8.26 (臺灣)
"
"maimai2063","[公告] 水桶公告","Tue Dec  7 11:25:25 2021","593","154","#1XfJV6SY (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638217670.A.722.html
違規人: Grandslammmm e2612368 st890022 BigHurt
違規項目: Grandslammmm B-3 、 e2612368 st890022 BigHurt B-17
處分: e2612368 水桶 90 天(C5出桶後累犯)
      st890022 水桶 90 天(B-17三犯)
      Grandslammmm & BigHurt  水桶 30 天
==============================================================================
#1Xg7uoXr (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638432306.A.875.html
違規人: NTUCS brian980466
違規項目: C-7
處分: 水桶 30 天
==============================================================================
#1XgE2BcF (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638457483.A.98F.html
違規人: qazxc312
違規項目: B-17
處分: 水桶 30 天
=============================================================================
#1XgSdTPr (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638517213.A.675.html
違規人: ian15987 kevinapo z6261708
違規項目: B-17
處分: 水桶 30 天
==========================================================================
#1Xgk-bcU (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638592421.A.99E.html
違規人: TheRoots、ianzero、MrJohn、rbull
違規項目: TheRoots & ianzero & rbull B-3 、 MrJohn B-6
處分: 水桶 30 天
==========================================================================
#1Xgl2_tv (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638592703.A.DF9.html
違規人: bullace、jarvis652、hdotistyle、yu80408、parnshan
違規項目: bullace B-17、jarvis652 & hdotistyle & yu80408 & parnshan B-3
處分: 水桶 30 天
==========================================================================
#1Xgl5tQ- (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638592887.A.6BE.html
違規人: pigmouth、meloman、jrbobo、Tawara、beeboombee
違規項目: B-3
處分: 水桶 30 天
==========================================================================
#1XgmZI4k (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638598866.A.12E.html
違規人: jacky844a
違規項目: B-17
處分: 水桶 30 天
==========================================================================
#1Xh56gG1 (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638683050.A.401.html
違規人: asdf70044
違規項目: B-3
處分: 水桶 30 天
==========================================================================
#1Xh5P7nT (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638684231.A.C5D.html
違規人: warmman5566
違規項目: B-2
處分: 水桶 30 天
==========================================================================
#1Xh8Hh6w (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638696043.A.1BA.html
違規人: s9553001
違規項目: B-2
處分: 水桶 30 天
==========================================================================
#1XhFbkx5 (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638725998.A.EC5.html
違規人: TYUGHJBNM
違規項目: B-17
處分: 水桶 30 天
==========================================================================
#1XhIXzb4 (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638738045.A.944.html
違規人: mozo amovie
違規項目: B-17
處分: 水桶 30 天
2021.12.16解除禁詞「噁心」使用限制，故解除amovie水桶
==========================================================================
#1XhRKBjR (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638774027.A.B5B.html
違規人: avig800
違規項目: B-2
處分: 水桶 90 天(B-17-1(B-2第三犯))
==========================================================================
#1XhX28gC (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638797448.A.A8C.html
違規人: kissme5566
違規項目: B-17
處分: 水桶 30 天
==========================================================================
#1XhYBq5g (Base_Picket)
https://www.ptt.cc/bbs/Base_Picket/M.1638802164.A.16A.html
違規人: pulato16
違規項目: B-2
處分: 水桶 30 天
==========================================================================

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.251.71.7 (臺灣)
"
"growl","[討論] 大家最希望自家哪位教練進富邦？","Tue Dec  7 02:39:25 2021","140","171","
大家最希望自己支持球隊的哪位教練
進富邦？
我個人是樂天迷，十分希望不然你來
進富邦，雖然雙貓打包也不錯，
但不得不說，龍貓雖然調度爛，
但很會調打擊。

題外話，個人覺得最適合富邦的
應該是威助，首先，富邦欠缺的是
球隊的整體性，球員基本上都是享受
比賽，但基本上都是各打各的，
尤其每次看到富邦用觸擊，基本上
就是失敗。
如果有威助，至少富邦觸擊練得好。
另外有些人說紅中不下戰術什麼的，
富邦能下什麼戰術？
跑很快的打擊不穩，打擊穩的跑很慢！
你是要下啥戰術啦？
希望富邦高層能順利挖不然你來成功，
樂天迷萬分感謝。

-----
Sent from JPTT on my Samsung SM-G970F.
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.164.47.234 (臺灣)
"
"liang691206","[問題] 目前球隊最窮的母公司是我喵吧！","Mon Dec  6 21:36:17 2021","155","66","2009年最窮球隊的母公司：我爪
結果賣球隊
2013年最窮球隊的母公司：我吱
結果賣球隊
2020年最窮球隊的母公司：我喵

所以我喵會走向我吱跟我爪的命運嗎？
雖然這樣演變好像蠻正向的
從最大企業變到最小企業

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.127.185 (臺灣)
"
"micheal59","[分享] 術業有專攻？兄弟們投籃打鐵聲不停","Mon Dec  6 19:18:21 2021","447","183","https://youtu.be/S5Hw3ZC7MAs
(中信兄弟官方YouTube頻道)

姿勢滿分 但準度有待加強
兩分多鐘的影片
只有象魔力和詹子賢各進一顆三分球
看來用球棒打三分砲
應該容易多了XD


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.71.87.252 (臺灣)
"
"R75","Re: [討論] 為啥呂文生黑黑的，但滿多人尊敬?","Mon Dec  6 16:48:16 2021","479","50","
黑不黑 見仁見智
但是呂文生執教生涯就真的超好運 還可以質疑?
從07年接手統一之後 就是統一戰力最顛峰的時期
那時期統一又是最肯花錢的統一
戰力有多完整 號稱國家隊打線
一壘高國慶 二壘陽森 三壘外掛洋將布雷 捕手高志綱 DH陳連宏
外野有楊松弦 潘武雄 劉芙豪
哪一個不是沒有資格入選國家隊的? (撇開布雷是洋將 但是能力更勝過國家隊)
唯一的洞就只有游擊手 (結果10年還坦到陳鏞基 這是後話)
投手還有巔峰時提的嘟嘟 每年保底十勝 幾乎是一個洋將等級本土選手
基本上這個三代獅陣容 就是三代獅球員最顛峰又最健康的時期
呂文生就是爽爽用2007-2009 三連霸
再說洋將
當初統一領隊林增祥超會找外掛洋將
前面的布雷就不說了 07年的彼得 ERA2.03 Whip1.02
然後就是最誇張的 費古洛+海公公
這兩個有多誇張 一個冠軍戰要拿四勝 三連霸就是要拿12勝
費古洛07年 147特攻三場全勝 拿下冠軍賽MVP
海公公08年 147特攻拿下兩勝 拿下冠軍賽MVP
海公公09年 147特攻三戰全勝 拿下冠軍賽MVP
這兩位出賽9場拿下8勝 如此驚人的勝率
順帶一提 冠軍賽其他投手 總共4勝9敗 費+海8勝1敗
數據還不夠清楚? 三連霸就是靠他們147特攻拿的
其他像M卡斯提 有的沒的洋將就不提了 畢竟三連霸就是靠費+海
10年開始三代獅逐漸開始痛痛了
林增祥也被統一""被""離職
2B陽森又品德問題被炒掉
少了國家隊打線幫忙 又沒外掛洋將
10統一直接墊底
但是迎接2011年的呂文生就是這麼好運
2B的洞 林志祥完美填補
3B 原本布雷/卡斯提離開的洞 撿到張泰山
10年戰績墊底 坦到統一最大的游擊洞陳鏞基
潘武雄院長也強勢回歸
不過這一年的統一總冠軍 是我認為呂文生含金量最高的一個冠軍
畢竟沒有費古洛+海克曼這種外掛洋將
從12年開始 其實三代獅越來越痛
張泰山也沒辦法再拿棒子去守三壘
呂文生那幾年也沒練出甚麼新秀
其實12年開始的統一獅挑戰會越來越多
不過呂文生也爆出私德問題被處理掉
也很難去驗證呂文生沒有滿等帳號 到底可以玩成怎樣
五年四冠也是不爭的事實
畢竟滿手好牌打爛 好菜炒爛 也大有人在
但是說沒有運氣成分 真的就有點太吹捧了

--
"
"WuSam","[新聞] 做給清宮看？新庄剛志曬6塊腹肌照！喊3年後變8塊","Mon Dec  6 13:53:13 2021","134","81","日職／做給清宮看？新庄剛志曬6塊腹肌照！喊3年後變8塊

NOWnews今日新聞  記者黃泓哲/綜合報導
https://imgur.com/nGtlklS.jpg
▲新庄剛志曬腹肌照。（圖／取自新庄剛志IG限時動態）
日本職棒（NPB）北海道日本火腿鬥士「Big Boss」新庄剛志上任後話題不斷，6日他在IG
限時動態貼出6塊腹肌的撕裂照，並且再度做出「肌肉改造宣言」，宣稱3年後要再增加2
塊變成「8塊腹肌」，展現出50歲肉體也能持續進化的決心。
日前新庄剛志對陣中小將清宮幸太郎下了減脂的指令，作為球隊監督，他本人也嚴格控管
自己的飲食與訓練。
6日新庄剛志在在IG限時動態貼出6塊腹肌的撕裂照，並且宣示接下來要持續進行肉體改造
，3年後要再增加2塊腹肌變成「8塊腹肌」，不僅對選手體格要求，自我約束程度也毫不
留情。
https://www.nownews.com/news/5465179
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.241.175 (臺灣)
"
"ChrisDavis","[討論] 有誰是邦邦認可的總仔","Mon Dec  6 10:48:21 2021","407","205","
中職最多勝最多冠教頭到邦邦被嫌爆
今天應該是要滾了
旅外教頭小葉也是被嫌爆

這幾天新聞出來有傳聞是吳復連更是讓邦邦們哭哭
那到底有什麼教頭是邦邦認可的？
陳52感覺也是沒搞
剩下建仔了嗎？但是他根本不可能接

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.140.199.81 (臺灣)
"
"thnlkj0665","[分享] 源田壯亮 加薪4000萬日圓","Sun Dec  5 21:19:52 2021","280","121","西武源田壮亮4000万円増に喜び　失策自己最少８も「多い」向上心尽きず
西武源田壮亮内野手（28）は年俸4000万円アップの1億9000万円で契約を更改した。
「しっかり評価をしていただけた」と喜んだ。初の盗塁王も獲得し、ショートの守備で
は変わらず美技を連発。失策も自己最少8と安定感が光っていたが、「ちょっと多いな
と思うので、もっともっと精度を高められるように」と向上心は尽きなかった。
源田壯亮已經在今天跟西武隊完成談約
獲得球團加薪4000萬日圓，明年年薪將會來到1億9000萬日圓

源田在今年球季不僅連莊太平洋聯盟游擊手金手套獎
同時還獲得職棒生涯第一次聯盟盜壘王獎項
本季一共出賽119場，打擊率為2成74，繳出126支安打、兩發全壘打、29分打點、24次盜壘
儘管整季發生八次守備失誤寫下個人生涯新低，不過他自認還有進步的空間


來源: https://www.nikkansports.com/baseball/news/202112050000988.html

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 218.35.163.74 (臺灣)
"
"bread220","Re: [新聞] 悍將改組無上限 傳連王建民都有機會","Sun Dec  5 18:31:59 2021","173","195","有沒有神人算過從禮拜六開始到底幾篇新聞了？
任由外界點名，球迷崩潰，酸民嘲笑，富邦公關完全無要無緊喔？
是球團自己也搞不清楚老闆到底想怎樣？
從神全一直到現在，好像球團公關都是慢非常多拍才出來發表一個笑死人的聲明稿。
一個大企業弄了一個台灣最大職業運動的球隊，搞成這樣是不是很難看？
當年翻修廁所的公關新聞就做得不錯啊，要不要把當年翻修廁所的公關再叫過來處理一下？
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.132.36 (臺灣)
"
"joulin","Re: [新聞] 富邦悍將換帥成定局 接班人選已有口袋名","Sun Dec  5 16:48:20 2021","118","201","※ 引述《micheal59 (Pohan)》之銘言：
: 記者陳立勳／台北報導
: 富邦悍將季末傳出人事異動，雖然目前球團尚未正式公布，但近期已經傳聞滿天飛，其中
: 總教練洪一中沒意外將轉換職務，把明年合約走完，總教練人選已有口袋名單。
: 上個月21日富邦悍將本季最後一場例行賽在天母球場交手味全龍，當天網路上傳出富邦即
: 將撤換領隊，將由63歲前台灣體育大學校長林華韋接手。
: 據了解當時傳出消息並非空穴來風，早在下半季尾聲已傳出富邦悍將即將更換領隊，消息
: 提早曝光人選就是林華韋，而副領隊除了陳昭如留任，球評王雲慶將擔任副領隊，負責國
: 際事務，包括洋將等部門，原本富邦悍將有意要找中信兄弟首席教練丘昌榮擔任副領隊，
: 搭配陳金鋒協助農場養成，但由於洪一中將轉換職務，丘昌榮被規劃接任一軍總教練，明
: 年執掌富邦一軍兵符機率很高，至於擁有美國職棒大聯盟資歷的陳金鋒，也是富邦高層屬
所以本來挖丘來 只是要來當副領隊協助養成，
因為紅中不當總教練了，才乾脆要丘當總教練?
(丘怎麼都是頂替的...)
所以本來沒打算換洪中?
那他是被誰逼退?
還是他自己心死，真的請辭?
這齣戲我還真的是看不懂，霧裡看花
我只知道，富邦真的是走回頭路....  看到快吐血

: 意總教練的人選，但陳金鋒意願並不高，因此預計會從目前顧問角色又回到熟悉的副領隊
: 工作。
: 當時傳出富邦悍將除了明年仍有1年合約的洪一中之外，其他教練團將有不小調整，包括
: 符合誠泰Cobras隊、台體大以及華興中學背景的人選都在傳聞名單之中，被點名人選有吳
: 復連、呂明賜、李安熙、黃欽智等人，但據了解在許多因素條件之下，實際最後要加入富
: 邦悍將的可能係並不大，反倒是樂天桃猿許銘傑、林英傑都有消息要轉戰富邦悍將，另外
: ，前統一7-ELEVEn獅隊守備教練王子菘也被點名有可能加入，但由於部分教練現階段都還
: 有合約在身，屆時年底前都可能還會有變數。
: 此外，據悉與林華韋同樣身為1984年戰友的統一7-ELEVEn獅隊球探杜福明將會擔任富邦悍
: 將球探長，原先富邦悍將球探部門人員也會有不小調整，包括曾經協助中華職棒擔任情蒐
: 工作的前兄弟象教練鄭漢禮，也在外傳名單之列。
: https://sports.ettoday.net/news/2139104?from=ettoday_app
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.130.81.228 (臺灣)
"
"v929598","[討論] 味全會不會簽下陳禹勳?","Sun Dec  5 12:33:32 2021","387","67","我個人認為
味全蠻適合投資陳禹勳的，原因如下
1. 牛棚還不到很穩，況且目前牛棚一堆小將，有一個老大哥來帶很不錯
2. 新賽制要搶前三，富邦就先不討論了，搶鄉長削弱競爭對手的實力
3. 味全不Care花錢，也不擔心樂天挑人 (25人很好保)
4. 陳禹勳對奶很了解，可以請他代言林鳳營(用碗公喝鮮奶)
   (台詞: 這是我喝過最棒的碗公奶，你的碗公奶比瑞睡鮮奶好喝100倍)

綜上所述
味全投資陳禹勳其實非常超值
真的可以考慮
--
有個美國人千辛萬苦集齊了七顆龍珠。
神龍華麗地出現!並用日文問他：”あなたは何を望む？”
美國人愣了愣：”can you speak english ? ”
神龍：”sure ~”
然後神龍就走了...
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.58.179.78 (臺灣)
"
"KillerD","[討論]  邦邦教練問題","Sun Dec  5 09:46:49 2021","497","73","
一個台灣最頂的教練 沒問題
一個台灣最多海歸球隊 沒問題
兩個加在一起 有問題…
而且自從義大變邦邦後
幾乎每年都有鬥教練或球員內鬥的問題
我看484把那位每個月領70萬
連二軍都不用去練 只要打高爾夫的辣個男人
請回來當教練啊
海歸身份 也是自己體系 也有實績 連旅長也要敬他三分
應該沒人敢鬥了吧…

還是把拳振拉上來 應該就沒人敢給宵了…

真為紅中感到不值啊…
再強的教練遇到沒心的球員也是被糟蹋啊…
我看外傳的鋒哥也是不要去比較好 非我族類
誰知會不會被鬥
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.75.99.214 (臺灣)
"
"Gotham","[新聞] 「天哥」不是哭包 談最終戰淚水是「性情","Sat Dec  4 23:57:54 2021","587","105","「天哥」不是哭包 談最終戰淚水是「性情中人」
2021-12-04 15:09 聯合報 / 記者陳宛晶／台北即時報導
味全龍隊小將郭天信的2021年打出滿滿驚嘆號，11月再以單月打擊MVP收尾，球季最終戰
打完後的訪問，說沒幾句話開始畫風突變，他的眼淚讓球迷直呼影片加了洋蔥，但「天哥
」自認不是哭包，「我自己覺得我算性情中人，但要哭，沒那麼容易哭。」
今年因疫情賽季而頒出11月MVP，龍隊季末戰績起飛，也反映在個人成績上，伍鐸、郭天
信包辦投、打MVP，「天哥」看到放榜時超意外，坦言心情有點飄飄然，「當下滿開心的
，但睡一覺起來還是要做該做的事情，不會因為拿到這個獎項就去改變什麼，繼續做自己
要做的事情，」
龍隊前一座單月MVP，已要追溯到1999年張泰山，如今也是龍隊打擊教練，頗有傳承意味
，郭天信對此給出超直率的回覆，「傳承的感覺，傳到他頭髮都沒了，1999年我還沒出生
。」
郭天信今年話題不斷，球季最終戰更因受訪時情緒一時湧上心頭而落淚，真性情的一面，
再度掀起話題。
被問到是不是愛哭的人，他自認不是，但或許是「性情中人」，「當天敬禮就不知道為什
麼，明明輸球，但一個感覺球季結束了，感覺好像過好快，眼眶就快淹水了，但當下有忍
住，後來訪問就忍不住，」
今年開低走高，度過充滿不可思議的2021年，郭天信接下來將在13日與幾名隊友赴斗六球
場開練，一路練到1月的重訓營，「我們比較年輕，所以比較早去練習。」
談到接下來給自己的課題，他點出心態和肌力，「不是說要多壯，而是足以應付一整年比
賽，今年一整年後面身體不是這麼聽話，比較沒辦法控制。」

https://udn.com/news/story/7001/5937746?from=udn-catebreaknews_ch2

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.250.192 (臺灣)
"
"Davichi5566","[新聞] 醞釀11年的購買力 兄弟冠軍商品5小時賣破","Sat Dec  4 20:48:55 2021","75","35","醞釀11年的購買力 兄弟冠軍商品5小時賣破1500萬
2021-12-04 19:01 聯合報 / 記者陳宛晶／即時報導
中信兄弟隊奪得隊史第8座總冠軍，紀念商品也開出銷售佳績，今天中午12點開放預購，
短短2小時就賣破千萬、5小時破1500萬，象迷等了11年、歷經7年6亞，才等到1座冠軍，
醞釀出驚人購買力。
兄弟昨天發布【十年一刻】Light it up! 中信兄弟總冠軍紀念商品販售資訊，今天中午1
2點在中信兄弟網路商城開放預購，球團表示，在短短2小時內，銷售額即破千萬，5小時
衝破1500萬。
總冠軍球衣金屬徽章紀念組售價6800元，限量3000組，2小時內也販售了600組。
中信兄弟球團表示，非常感謝球迷朋友熱情支持，將陸續發佈封王優惠活動回饋球迷；另
外，12日將台中市舉行的封王遊行感謝祭，也邀請球迷朋友一起參與，和兄弟們一同歡慶
總冠軍榮耀。
https://udn.com/news/story/7001/5938063?from=udn-catelistnews_ch2
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 218.173.137.248 (臺灣)
"
"arod1414","[新聞] 桃猿現有3洋投有望續留！球團已開始談續","Sat Dec  4 17:56:27 2021","574","62","桃猿現有3洋投有望續留！球團已開始談續約
記者王真魚／桃園報導
中信兄弟3日率先公布簽下獅隊前洋投泰迪，明年戰力超前部署，其他球團持續與洋將談約
。樂天桃猿領隊浦韋青4日透露，現有3名洋投都有在談續約，「大家溝通滿愉快，希望短期
之內會有好消息。」
豪勁本季出賽53場，前期擔任先發，不過只有先發4場，接下來都以後援為主，累計80.2局
，防禦率2.79。
霸林爵自悍將轉戰桃猿，出賽19場，拿下5勝7敗，包括對味全龍一場完投完封勝，防禦率2.
80；狂威8月下旬來台，出賽10場，戰績3勝4敗，防禦率4.01，季末連5場優質先發。
三人在11月23日搭機返鄉。浦韋青表示，球團傾向續留，也有和他們談續約，「大家都溝通
滿愉快，也很喜歡這邊環境，希望短期之內會有好消息，當然除了3人之外，還會尋找新洋
將。」
https://sports.ettoday.net/news/2138708?redirect=1
--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 42.74.176.79 (臺灣)
"
